Date,btc_price,btc_trans_blockchain,avg_block_size,unique_sentbyaddress,avg_mining_diff,avg_hashrate,sent_in_USD,avg_trans_fee,median_trans_fee,avg_block_confirm_time_min,avg_trans_value_usd,median_trans_value_usd,unique_tofromaddress
03-01-2009,,,204,,1,,,,,,,,
04-01-2009,,,,,,,,,,,,,
05-01-2009,,,,,,,,,,,,,
06-01-2009,,,,,,,,,,,,,
07-01-2009,,,,,,,,,,,,,
08-01-2009,,,,,,,,,,,,,
09-01-2009,,,134,1,1,12576322,,,,102.857,,,14
10-01-2009,,,134.23,,1,9378233,,,,23.607,,,61
11-01-2009,,,134.409,1,1,4857511,,,,15.484,,,93
12-01-2009,,7,153.372,7,1,4567766,,,,15.319,,,102
13-01-2009,,,134.667,10,1,5654593,,,,11.707,,,123
14-01-2009,,1,138.194,20,1,6206668,,,,11.163,,,133
15-01-2009,,8,157.579,18,1,6365454,,,,11.429,,,140
16-01-2009,,2,139.87,16,1,6070043,,,,13.333,,,114
17-01-2009,,,134.853,18,1,5240736,,,,13.211,,,109
18-01-2009,,1,138.944,16,1,5190081,,,,13.458,,,111
19-01-2009,,2,151.896,22,1,5762472,,,,12.522,,,133
20-01-2009,,1,143.728,21,1,5793593,,,,12.632,,,123
21-01-2009,,1,137.99,22,1,5559411,,,,14.118,,,105
22-01-2009,,1,147.747,12,1,4120719,,,,15.824,,,102
23-01-2009,,2,148.238,18,1,3518417,,,,17.143,,,95
24-01-2009,,1,141.06,22,1,8393223,,,,7.164,,,212
25-01-2009,,1,136,14,1,9962644,,,,7.539,,,193
26-01-2009,,1,158.948,17,1,7689965,,,,15,,,117
27-01-2009,,1,139.309,8,1,4617016,,,,14.845,,,101
28-01-2009,,,134.652,23,1,4962996,,,,12.857,,,112
29-01-2009,,1,146.256,24,1,5795924,,,,11.901,,,134
30-01-2009,,,134.872,23,1,6240808,,,,12.308,,,117
31-01-2009,,1,151.464,36,1,6051994,,,,10.435,,,159
01-02-2009,,1,137.204,31,1,6190608,,,,12.743,,,116
02-02-2009,,1,136.094,37,1,6153545,,,,11.25,,,130
03-02-2009,,16,167.496,50,1,6704449,,,,10.36,,,154
04-02-2009,,,134.739,26,1,6346531,,,,12.101,,,119
05-02-2009,,,134.722,34,1,6048969,,,,11.429,,,126
06-02-2009,,,134.836,19,1,6295545,,,,11.803,,,122
07-02-2009,,4,159.31,32,1,6330966,,,,11.163,,,156
08-02-2009,,1,136.576,46,1,6434968,,,,10.909,,,134
09-02-2009,,1,172.604,34,1,6421922,,,,10.746,,,179
10-02-2009,,,134.667,18,1,6511267,,,,12,,,120
11-02-2009,,2,148.128,27,1,6460281,,,,10.827,,,147
12-02-2009,,,134.874,22,1,6046361,,,,12.101,,,119
13-02-2009,,,134.903,27,1,6055061,,,,11.613,,,124
14-02-2009,,,134.787,29,1,6655610,,,,10.588,,,136
15-02-2009,,3,148.383,32,1,6358856,,,,11.25,,,142
16-02-2009,,1,163.172,26,1,6230951,,,,11.803,,,153
17-02-2009,,,134.897,27,1,5876537,,,,12.308,,,117
18-02-2009,,,134.941,23,1,5957088,,,,12.203,,,118
19-02-2009,,1,150.048,37,1,5943972,,,,11.613,,,141
20-02-2009,,,134.852,29,1,6302263,,,,11.803,,,122
21-02-2009,,,134.965,22,1,5624662,,,,12.632,,,114
22-02-2009,,4,147.545,28,1,6022206,,,,11.901,,,133
23-02-2009,,,134.991,22,1,5531524,,,,13.333,,,108
24-02-2009,,,134.934,16,1,5457302,,,,13.585,,,106
25-02-2009,,,134.867,16,1,5346698,,,,13.714,,,105
26-02-2009,,,134.963,14,1,5036662,,,,13.458,,,107
27-02-2009,,1,170.8,26,1,5729494,,,,12.522,,,152
28-02-2009,,1,143.525,8,1,5316849,,,,14.545,,,107
01-03-2009,,,134.952,16,1,5054096,,,,13.714,,,105
02-03-2009,,,134.963,15,1,5331702,,,,13.333,,,108
03-03-2009,,2,144.429,17,1,5226712,,,,13.714,,,114
