Date,open,high,low,close,adj close,volume,sentiment,btc_trans_blockchain,avg_block_size,unique_sentbyaddress,avg_hashrate,sent_in_usd,median_trans_fee,avg_block_confirm_time_min,median_trans_value_usd,sma_20,ema_20,ema_12,ema_26,macd,signal_line,rsi,%k,%d,middle_band,upper_band,lower_band
2014-12-26,319.152008,331.424011,316.627014,327.924011,327.924011,16410500,1,76046.0,274839.0,126447.0,2.88e+17,177244512.0,0.0323,9.474,123.875,337.28944705000004,336.55016243237606,329.82741623498725,340.7469920764514,-10.919575841464166,-10.87849421595846,43.046049422870254,48.26829264068967,36.80343235404245,337.28944705000004,371.56617352870677,303.0127205712933
2014-12-27,327.583008,328.911011,312.630005,315.863007,315.863007,15185200,-1,76662.0,290886.0,130695.0,3.15e+17,184315724.0,0.0319,9.474,118.706,334.32784735,334.57995715310216,327.6790455834508,338.9037339226402,-11.224688339189413,-10.947733040604652,38.35086855802871,23.696129992625895,34.02263717288273,334.32784735,364.8846361177852,303.77105858221483
2014-12-28,316.160004,320.028015,311.078003,317.239014,317.239014,11676600,1,75546.0,279938.0,144477.0,3.12e+17,200630788.0,0.0315,8.521,87.502,332.0943482,332.92843875756864,326.07288687830453,337.29893985429646,-11.226052975991934,-11.003397027682109,39.16611042854097,27.33542880129457,33.099950478203375,332.0943482,360.6257543646675,303.5629420353325
2014-12-29,317.700989,320.266998,312.307007,312.670013,312.670013,12302500,-1,83283.0,284084.0,135586.0,3.32e+17,226685673.0,0.0315,8.78,105.41,330.11689915,330.99906487589544,324.0109062816423,335.47457490212634,-11.463668620484043,-11.095451346242497,37.39767420722802,20.270533937408995,23.767364243776484,330.11689915,358.2548777506196,301.9789205493804
2014-12-30,312.718994,314.80899,309.372986,310.737,310.737,12528300,0,84894.0,301133.0,144680.0,3.03e+17,275518820.0,0.0312,9.29,139.882,328.33549965000003,329.06934441152447,321.96876685369733,333.64216194641324,-11.673395092715907,-11.211040095537179,36.6438360883177,20.293266646268496,22.63307646165735,328.33549965000003,356.6528928170225,300.01810648297754
2014-12-31,310.914001,320.192993,310.210999,320.192993,320.192993,13942900,-1,77259.0,269665.0,122759.0,3.22e+17,258858043.0,0.0313,9.474,122.32,326.8198487,328.2239776104269,321.6955708762054,332.64592720964185,-10.950356333436446,-11.158903343117032,42.72587271866572,49.79255025239128,30.11878361202292,326.8198487,353.32796039027244,300.3117370097276
2015-01-01,320.434998,320.434998,314.002991,314.248993,314.248993,8036550,-1,59179.0,187402.0,93422.0,3.22e+17,129854868.0,0.0316,8.727,78.474,324.90519875,326.8930266951482,320.54994351063533,331.283191342261,-10.733247831625647,-11.073772240818755,40.11873636613421,25.340427315898197,31.80874807151932,324.90519875,349.0137689625224,300.7966285374776
2015-01-02,314.07901,315.838989,313.565002,315.032013,315.032013,7860650,-1,78839.0,300375.0,147822.0,3.52e+17,152514560.0,0.0218,9.29,60.332,323.28799905,325.76340634322935,319.70103112438375,330.07940035394535,-10.3783692295616,-10.934691638567324,40.632660634528406,21.026331239268302,32.053102935852586,323.28799905,345.29778574922096,301.27821235077903
2015-01-03,314.846008,315.149994,281.082001,281.082001,281.082001,33054400,1,88588.0,394651.0,158849.0,3.4e+17,302898873.0,0.0251,10.286,43.775,319.76049965,321.508034405779,313.7596418744786,326.4499633647642,-12.690321490285612,-11.285817608910982,29.008049033323275,0.0,15.455586185055495,319.76049965,345.0176834737658,294.50331582623414
2015-01-04,281.145996,287.230011,257.612,264.195007,264.195007,55629100,-1,119211.0,469287.0,189246.0,3.26e+17,235324696.0,0.0243,10.909,63.996,315.70299995,316.04965084332383,306.1343134322511,321.83848511552236,-15.704171683271284,-12.169488423783042,25.15330651845197,8.367344248814371,9.797891829360886,315.70299995,348.5786397161492,282.8273601838508
2015-01-05,265.084015,278.341003,265.084015,274.473999,274.473999,43962800,-1,99412.0,338543.0,150859.0,3.39e+17,256967602.0,0.0235,9.73,64.102,313.07359929999996,312.0900649534835,301.2634958272894,318.3300046625207,-17.066508835231332,-13.148892506072702,31.150658094146976,21.43247764375223,9.933273964188862,313.07359929999996,350.2541401547006,275.8930584452993
2015-01-06,274.610992,287.553009,272.696014,286.188995,286.188995,23245700,-1,128564.0,531003.0,212209.0,3.44e+17,253771254.0,0.0227,10.909,110.615,311.39424900000006,309.62329638648504,298.94434185386024,315.94918913196364,-17.004847278103398,-13.920083460478843,37.315518245711104,37.050909659826075,22.283577184130888,311.39424900000006,350.2944461254525,272.4940518745476
2015-01-07,286.076996,298.753998,283.07901,294.337006,294.337006,24866800,-1,143977.0,634389.0,209025.0,3.63e+17,295600129.0,0.026,10.667,85.796,310.54129950000004,308.1674592068198,298.23552095326636,314.3482866777441,-16.112765724477754,-14.358619913278625,41.25541993089809,49.754783134143246,36.079390145907176,310.54129950000004,350.18237183828535,270.9002271617147
2015-01-08,294.13501,294.13501,282.174988,283.348999,283.348999,19982500,-1,147326.0,729761.0,195605.0,4.18e+17,195700567.0,0.0281,9.29,53.549,308.8166001,305.8037963299798,295.94528680661,312.05204314605936,-16.106756339449362,-14.708247198512773,37.80460219331529,34.868307544147484,40.5580001127056,308.8166001,350.08806145767556,267.54513874232447
2015-01-09,282.382996,291.114014,280.53299,290.40799,290.40799,18718600,-1,130256.0,451761.0,202829.0,3.96e+17,287290996.0,0.0228,9.351,80.966,306.8391999,304.3375290604579,295.0933949902085,310.4487799500549,-15.355384959846447,-14.83767475077951,41.20692539011879,45.99781895992917,43.54030321273996,306.8391999,347.6329944556384,266.04540534436154
2015-01-10,287.303009,288.127014,273.966003,274.79599,274.79599,15264300,-1,134178.0,457153.0,205660.0,4.51e+17,329546553.0,0.0237,9.664,127.828,304.53685005,301.5240491499381,291.97071729940717,307.80783254634713,-15.837115246939959,-15.0375628500116,36.45688335665689,27.3530244449652,36.073050316347285,304.53685005,347.15950254863884,261.91419755136116
2015-01-11,274.608002,279.638,265.039001,265.660004,265.660004,18200800,0,152335.0,541861.0,248908.0,4.68e+17,508642960.0,0.0316,9.412,116.382,301.22555094999996,298.1084258023249,287.9229152533445,304.68577117254364,-16.762855919199126,-15.382621463849105,33.98782062027274,12.810601620763137,28.720481675219162,301.22555094999996,345.1714981090038,257.27960379099613
2015-01-12,266.145996,272.203003,265.200012,267.79599,267.79599,18880300,-1,177945.0,566991.0,293149.0,6.6e+17,867375024.0,0.0367,8.623,146.016,297.88675090000004,295.2215271544845,284.82646521436845,301.9531947893923,-17.12672957502383,-15.731443086084052,35.09460004419,16.210608096098817,18.791411387275712,297.88675090000004,341.30883734022973,254.46466445977035
